code,name,network_id,network_region,description,npi_id,latitude,longitude,units
JUNEESF,Junee,NEM,NSW1,"<p>Junee Solar Farm is a 30 MWac solar farm in NSW just north of the 5000 person town of Junee, which is approximately 30 minutes’ drive from Wagga Wagga. The project commenced development in 2017 and is now operational having been acquired by Mytilineos.</p><p>The project is in a 10 year Power Purchase Agreement with Coles alongside two of Terrain Solar’s other solar farm developments, providing approximately 10% of Coles’ energy Australia wide.</p>",,-34.81124,147.572099,"[{'code': 'JUNEESF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 36.0, 'capacity_maximum': 30.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2021-05-25T12:40:00+10:00', 'data_last_seen': '2025-12-03T19:20:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:01+00:00', 'updated_at': '2025-08-05T05:51:54+00:00'}]"
KARSF,Karadoc,NEM,VIC1,"<p>Karadoc Solar Farm is a photovoltaic power station 35 kilometres (22 mi) south of Mildura near the town of Iraak in the Australian state of Victoria. It can generate up to 112MW of electricity, and was designed by  BayWa r.e. Solar. It was officially opened in March 2019.The solar farm is on a site of 269 hectares (664 acres) and was built by Melbourne construction company Beon Energy Solutions with first generation in November 2018. It has an offtake agreement to provide 74,000 MWh per year of electricity to Carlton &amp; United Breweries for 12 years. At the time of its construction, it was the largest in Victoria at 90 MWAC, 120 MWP.</p>",,-34.416199,142.252181,"[{'code': 'KARSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 104.0, 'capacity_maximum': 90.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2018-10-24T08:10:00+10:00', 'data_last_seen': '2025-12-03T19:30:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:01+00:00', 'updated_at': '2025-05-08T01:57:49+00:00'}]"
KENNEDY,Kennedy Energy Park,NEM,QLD1,"<p>Kennedy Energy Park is a world-first wind, solar and energy storage facility located in Flinders Shire in central north Queensland. The project is owned by Windlab and Eurus. Construction has commenced and it will be generating by late 2019.</p>",,-20.872792,144.413034,"[{'code': 'KEPSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 16.0, 'capacity_maximum': 15.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2021-07-06T10:05:00+10:00', 'data_last_seen': '2025-12-03T18:50:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:01+00:00', 'updated_at': '2025-05-08T05:49:48+00:00'}]"
KERNGSP,Kerang,NEM,VIC1,,,-35.779895,143.941051,"[{'code': 'KERNGSP1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 37.0, 'capacity_maximum': 30.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2025-02-28T16:35:00+10:00', 'data_last_seen': '2025-12-03T19:30:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2024-12-11T00:14:07+00:00', 'updated_at': '2025-06-25T23:30:18+00:00'}]"
KIAMSF1,Kiamal,NEM,VIC1,"<p>Kiamal Solar Farm is located in north-west Victoria, approximately 3 km north of the township of Ouyen with Stage 1 currently under construction. When completed it will be Victoria&#x27;s largest solar farm.</p>",,-35.018133,142.302953,"[{'code': 'KIAMSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 239.0, 'capacity_maximum': 200.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2020-09-08T12:10:00+10:00', 'data_last_seen': '2025-12-03T19:25:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:03+00:00', 'updated_at': '2025-05-06T02:38:36+00:00'}]"
KSP1,Kidston,NEM,QLD1,"<p>KS1 is the first of four projects that comprise the Kidston Clean Energy Hub, located in Kidston, Far-North Queensland.</p><p>This site was selected in order to take advantage of the highest solar radiation zone in the country. The project has 540,000 solar panels operating on a single axis tracking system with an anticipated project life of 30 years.</p>",,-18.88,144.151,"[{'code': 'KSP1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 50.0, 'capacity_maximum': 47.7, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2017-11-30T14:45:00+10:00', 'data_last_seen': '2025-12-03T18:40:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:03+00:00', 'updated_at': '2024-12-19T04:50:34+00:00'}]"
KINGASF,Kingaroy,NEM,QLD1,"<p>The proposed development site is located approximately 1 km east of Kingaroy, Queensland. Kingaroy is agricultural town in the South Burnett Region, approximately 200 km north of Brisbane. The township is located at the junction of D’Aguilar Highway and the Bunya Highway. The development is located on the State-controlled Kingaroy Barkers Creek Road.</p><p>The project is located in the local government area of the South Burnett Regional Council, in the Kingaroy Shire.</p><p>The Solar Farm will involve the construction of electricity generation works across an area of approximately 118.37 hectares. The solar array is anticipated to have a 30-50 year life span.</p>",,-26.537087,151.890398,"[{'code': 'KINGASF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 47.0, 'capacity_maximum': 40.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2024-09-04T09:40:00+10:00', 'data_last_seen': '2025-12-03T18:35:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2024-10-01T04:35:58+00:00', 'updated_at': '2025-01-09T22:49:26+00:00'}]"
LILYVASF,Lilyvale,NEM,QLD1,"<p>The project is located around 50 km North-East of Emerald, in Central Queensland. The solar farm will be connected to the electricity network via a newly constructed substation.</p>",,-23.070504,148.413865,"[{'code': 'LILYSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 118.0, 'capacity_maximum': 100.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2019-03-09T12:10:00+10:00', 'data_last_seen': '2025-12-03T18:25:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:04+00:00', 'updated_at': '2025-05-08T06:50:23+00:00'}]"
LIMOSF1,Limondale,NEM,NSW1,"<p>RWE’s first Australian renewables project is the Limondale Solar Farm, near Balranald in New South Wales.</p><p>The photovoltaic plant has about 872,000 panels on 770 hectares, and an installed capacity of 249 MWac.</p>",,-34.775502,143.508046,"[{'code': 'LIMOSF11', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 275.0, 'capacity_maximum': 220.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2020-07-01T08:45:00+10:00', 'data_last_seen': '2025-12-03T19:25:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:04+00:00', 'updated_at': '2025-05-08T06:52:19+00:00'}]"
LIMOSF2,Limondale 2,NEM,NSW1,"<p>RWE’s first Australian renewables project is the Limondale Solar Farm, near Balranald in New South Wales.</p><p>The photovoltaic plant has about 872,000 panels on 770 hectares, and an installed capacity of 249 MWac.</p>",,-34.775502,143.508046,"[{'code': 'LIMOSF21', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 38.0, 'capacity_maximum': 29.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2019-12-24T07:10:00+10:00', 'data_last_seen': '2025-12-03T19:25:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:04+00:00', 'updated_at': '2025-05-08T06:52:49+00:00'}]"
LRSF,Longreach,NEM,QLD1,"<p>The Longreach Solar Farm is a solar farm located ten kilometres east of Longreach in Central West Queensland, Australia. It has a generating capacity of 17.5 megawatts. The solar farm uses 53,000 single-axis tracking solar panels across a 50 hectare site. It was owned and operated by Canadian Solar Australia and Foresight. Foresight Solar Fund acquired the plant in 2022.</p>",,-23.455048,144.227917,"[{'code': 'LRSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 17.0, 'capacity_maximum': 15.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2018-04-16T10:15:00+10:00', 'data_last_seen': '2025-12-03T18:55:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:06+00:00', 'updated_at': '2025-05-08T06:57:45+00:00'}]"
MANSLR,Manildra,NEM,NSW1,"<p>Located on Wiradjuri Country in the Central West of NSW, approximately 45 kilometres west of Orange, Manildra Solar Farm supplies clean, green energy to Energy Australia.</p>",,-33.172831,148.71824,"[{'code': 'MANSLR1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 50.0, 'capacity_maximum': 46.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2018-05-02T13:25:00+10:00', 'data_last_seen': '2025-12-03T18:55:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:07+00:00', 'updated_at': '2025-05-13T01:37:12+00:00'}]"
MANNSF,Mannum 2,NEM,SA1,"<p>Stage 2 of the Mannum Solar Farm is the second project in Epic’s growing Mannum Energy Park in the Riverland region of South Australia.</p><p>The project was acquired by Epic in August 2022 from its developers Canadian Solar and is now under construction, with operations expected to commence in late 2023.</p><p>Stage 2 will operate independently of Epic’s initial Mannum Solar Farm with its own connection to SA Power Network’s distribution network and will use Trina bifacial panels and single-axis tracking system, along with Sungrow inverters.</p>",,-34.9144,139.2681,"[{'code': 'MANNSF2', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 37.0, 'capacity_maximum': 29.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2024-01-03T09:25:00+10:00', 'data_last_seen': '2025-12-03T19:50:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2024-09-23T05:24:28+00:00', 'updated_at': '2025-05-13T01:39:01+00:00'}]"
MAPS2,Mannum Pumping Station,NEM,SA1,<p></p>,,-34.920217,139.314438,"[{'code': 'MAPS3PV1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 16.5, 'capacity_maximum': 12.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2023-03-23T13:05:00+10:00', 'data_last_seen': '2025-12-03T19:45:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:07+00:00', 'updated_at': '2024-12-19T23:23:06+00:00'}, {'code': 'MAPS2PV1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 16.5, 'capacity_maximum': 13.4, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2021-08-18T11:00:00+10:00', 'data_last_seen': '2025-12-03T19:45:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:07+00:00', 'updated_at': '2024-12-19T23:21:57+00:00'}]"
MARYRSF,Maryrorough,NEM,QLD1,"<p>This facility is situated about 50 kilometres west of Toowoomba, in SE Queensland, and has a generation capacity of 34.5 MWdc (27.3 MWac).</p>",,-27.708973,151.546869,"[{'code': 'MARYRSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 33.0, 'capacity_maximum': 27.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2020-03-17T17:35:00+10:00', 'data_last_seen': '2025-12-03T18:40:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:07+00:00', 'updated_at': '2024-12-19T23:56:56+00:00'}]"
METZSF,Metz N,NEM,NSW1,<p>Metz Solar Farm is a 135MW solar farm located 15km from Armidale</p>,,-30.4915,151.6701,"[{'code': 'METZSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 135.0, 'capacity_maximum': 115.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2022-03-29T09:20:00+10:00', 'data_last_seen': '2025-12-03T18:35:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:08+00:00', 'updated_at': '2025-05-13T01:44:52+00:00'}]"
MIDDLSF1,Middlemount,NEM,QLD1,<p>The Middlemount Sun Farm development site is located around 1km east from the town of Middlemount in central Queensland.</p>,,-22.822235,148.720115,"[{'code': 'MIDDLSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 30.0, 'capacity_maximum': 26.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2020-12-10T12:10:00+10:00', 'data_last_seen': '2025-12-03T18:35:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:08+00:00', 'updated_at': '2025-01-09T22:58:36+00:00'}]"
MOKOSF,Mokoan,NEM,VIC1,"<p>The Mokoan Solar Farm project consists of a 53MWdc solar farm and battery energy storage system (BESS). The solar project is made up of two separate sites Mokoan and the expansion site, located on Lee Road and Nelson Road, Winton, in the Hume Region of Victoria.</p><p>The Mokoan Solar Farm received development approval from Benalla Rural City Council in December 2018. The Mokoan Expansion site received development approval from the Victorian Department of Environment, Land, Water and Planning in June 2020. The solar farm covers 94 hectares of land, which has been predominantly used for grazing.</p><p><br/></p>",,-36.487519,146.122634,"[{'code': 'MOKOSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 58.0, 'capacity_maximum': 46.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2024-12-16T11:05:00+10:00', 'data_last_seen': '2025-12-03T19:15:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2024-12-03T02:03:16+00:00', 'updated_at': '2025-05-13T01:49:27+00:00'}]"
MOLNGSF1,Molong,NEM,NSW1,"<p><br/>The Molong Solar farm is a 30 MWac Solar Farm located in the central west region of NSW, just north west of Orange.</p><p>The site was developed by Terrain Solar and was acquired by TEC-C Investments in November 2017 and is now owned by AMP Energy.</p>",,-33.082578,148.900073,"[{'code': 'MOLNGSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 36.0, 'capacity_maximum': 30.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2020-11-10T06:25:00+10:00', 'data_last_seen': '2025-12-03T18:55:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:09+00:00', 'updated_at': '2025-05-13T02:29:14+00:00'}]"
MOREESF,Moree,NEM,NSW1,"<p>Moree Solar Farm is a 56MW photovoltaic solar plant located about 10km south of Moree in New South Wales, Australia.<br/><br/>The plant was one of the largest solar power plants in Australia at the time of its construction and the first that utilises mechanical devices (trackers) to continually orient its solar panels with the sun to increase their power output each day.</p>",,-29.572607,149.861266,"[{'code': 'MOREESF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 57.0, 'capacity_maximum': 56.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2016-02-22T09:05:00+10:00', 'data_last_seen': '2025-12-03T18:45:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:35:09+00:00', 'updated_at': '2024-12-20T00:31:43+00:00'}]"
